Disease,Symptoms,Precautions
Diabetes,"Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.; Losing weight without trying.; A high blood sugar level can cause several symptoms, including:; Getting a lot of infections, such as gum, skin and vaginal infections.","Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day."
Diabetes,"A high blood sugar level can cause several symptoms, including:; Urinating often.","Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes."
Diabetes,"A high blood sugar level can cause several symptoms, including:; Feeling irritable or having other mood changes.","Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes."
Diabetes,Feeling more thirsty than usual.; Feeling irritable or having other mood changes.; Having slow-healing sores.; Urinating often.; Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.,"Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes."
Diabetes,Feeling more thirsty than usual.; Urinating often.,"Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day."
Diabetes,"A high blood sugar level can cause several symptoms, including:; Getting a lot of infections, such as gum, skin and vaginal infections.; Feeling tired and weak.; Feeling irritable or having other mood changes.; Having blurry vision.","Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes."
Diabetes,"A high blood sugar level can cause several symptoms, including:; Feeling irritable or having other mood changes.; Getting a lot of infections, such as gum, skin and vaginal infections.","Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day."
Diabetes,Feeling irritable or having other mood changes.; Having slow-healing sores.; Urinating often.; Having blurry vision.,"Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored."
Diabetes,Urinating often.; Having blurry vision.; Feeling tired and weak.,"Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes."
Diabetes,"Urinating often.; Feeling more thirsty than usual.; Losing weight without trying.; A high blood sugar level can cause several symptoms, including:; Feeling irritable or having other mood changes.","Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem."
Diabetes,"Having blurry vision.; A high blood sugar level can cause several symptoms, including:; Feeling more thirsty than usual.","Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem."
Diabetes,Having slow-healing sores.; Feeling irritable or having other mood changes.; Urinating often.; Feeling more thirsty than usual.; Having blurry vision.,"Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes."
Diabetes,"Urinating often.; Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.; Losing weight without trying.; Getting a lot of infections, such as gum, skin and vaginal infections.","Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem."
Diabetes,Having blurry vision.; Feeling tired and weak.,"Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day."
Diabetes,"Feeling tired and weak.; Getting a lot of infections, such as gum, skin and vaginal infections.; Losing weight without trying.; Having blurry vision.","Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored."
Diabetes,Having slow-healing sores.; Having blurry vision.; Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.; Losing weight without trying.,"Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem."
Diabetes,Feeling more thirsty than usual.; Urinating often.,"Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day."
Diabetes,"Feeling tired and weak.; Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.; Getting a lot of infections, such as gum, skin and vaginal infections.","Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day."
Diabetes,Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.; Feeling tired and weak.,"Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored."
Diabetes,"Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.; A high blood sugar level can cause several symptoms, including:","Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day."
Diabetes,Feeling irritable or having other mood changes.; Urinating often.; Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.,"Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem."
Diabetes,"Getting a lot of infections, such as gum, skin and vaginal infections.; Feeling irritable or having other mood changes.; Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin.","Lose excess pounds. If you're overweight, losing even 7% of your body weight can lower the risk of diabetes. For example, if you weigh 200 pounds (90.7 kilograms), losing 14 pounds (6.4 kilograms) can lower the risk of diabetes.
But don't try to lose weight during pregnancy. Talk to your provider about how much weight is healthy for you to gain during pregnancy.
To keep your weight in a healthy range, work on long-term changes to your eating and exercise habits. Remember the benefits of losing weight, such as a healthier heart, more energy and higher self-esteem.; Keeping an ideal body weight and an active lifestyle may prevent or delay the start of type 2 diabetes. If you're overweight, losing just 5% of your body weight can reduce your risk. Some medicines can also be used to delay or prevent the start of type 2 diabetes.; Eat healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains. Eat a variety to keep from feeling bored.; Get more physical activity. Try to get about 30 minutes of moderate aerobic activity on most days of the week. Or aim to get at least 150 minutes of moderate aerobic activity a week. For example, take a brisk daily walk. If you can't fit in a long workout, break it up into smaller sessions throughout the day."
